"Timestamp","Open access to scientific results is...","Would having open access at a reasonable price influence your decision to submit an article to a venue?","How would you propose to fund the archival of papers under an OA model?","What would be highest acceptable author processing charges per article (in $)?","Would you support ACM reducing expenses and possibly scaling back on the “Good Works” to fund OA?","What is, in your view, the primary role of the ACM?","Would you consider changing publishers if OA were not available at an acceptable price from the ACM within two years?","Should authors retain copyright of their work?","Comments on Open Access","In your field, where do important results first appear?","Have you published in a journal in the last three years?","Have you read a paper published in a journal in the last year?","Have you published in a conference in the last two years?","You publish in journals mainly because ","Would you support publishing our best conferences as special issues of a journal?","Comments on the importance of Journals in CS","The DL fulfill its role of being a convenient portal to find CS research results","The DL makes it easy to find articles","The DL’s search facility should be replaced by a commercial search engine","The DL’s archiving facility should be replaced with ArXiv","Comments about the DL","Do you work","How long ago was your first published scientific paper?","Are you a member of the ACM?","Which SIG (if any) do identify with?","Where do you spend most of your time?"
"2015/03/06 12:26:42 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","0","yes","","yes","yes","","conferences","yes","yes","yes","they allow one to present completed research","yes","","3","2","5","5","","academia","10+ years ago","yes","","North America"
"2015/03/06 12:30:03 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","0","yes","Supporting conferences","yes","not essential","","conferences","yes","no","yes","they allow one to present completed research;it is expected by your employer","yes","","5","4","5","5","","academia","<10 years ago","yes","sigsoft sigplan","North America"
"2015/03/06 12:42:34 AM AST","a desirable feature","no","???","200","no","The Good Works are important.  That's not to say there isn't bloat in ACM, but there is no other organization that maintains these important activities.","no","yes","I've always found it odd to go after ACM while Elsevier still has any foothold whatsoever in CS.","conferences","no","no","yes","they allow long form results;they allow one to present completed research","no","","4","4","4","2","","academia","10+ years ago","yes","SIGPLAN","North America"
"2015/03/06 12:51:32 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","An archive","yes","not essential","Authors upload their papers online either way","conferences","yes","no","yes","they allow one to present completed research;it is expected by your employer","yes","Supplementary","4","3","4","4","Google scholar is much better","academia","<10 years ago","no","computer security","North America"
"2015/03/06 12:51:39 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","no","","yes","yes","","conferences","no","yes","yes","","yes","","5","5","1","5","","academia","<10 years ago","yes","","North America"
"2015/03/06 12:52:56 AM AST","a moral imperative","no","through author processing charges","1000","yes","Good question... I do not real understand what ACM is for... Most of the work e.g., to set up conferences is done by benevolents ","yes","not essential","","conferences","no","no","yes","","no","None. It is a waste of time, to write for and to review. I stopped both activities few years ago","2","2","4","4","Not useful. Hard to search, no statistics. Best way to get s paper is via author's webpage ","industry","10+ years ago","yes","Sigplan","North America"
"2015/03/06 12:53:55 AM AST","a moral imperative","no","through increased conference registration costs (or attendance)","100","yes","","no","yes","","conferences","yes","yes","yes","","yes","","3","2","5","","","academia","10+ years ago","yes","","North America"
"2015/03/06 12:54:08 AM AST","a desirable feature","no","through author processing charges","200","no","To bring the computing community together.
","no","yes","Not sure what it is. Sounds a bit like a fad.
","conferences","yes","yes","yes","they are more prestigious","yes","They are the same currency as journals in other scientific fields and we simply cannot buck the system.","5","5","1","5","Well done.","industry","20+ years ago","yes","SIFPLAN SIGSOFT","North America"
"2015/03/06 12:55:54 AM AST","a moral imperative","yes","through author processing charges","200","yes","To make things cost more.  They don't seem to actually do anything else -- you can publish without them and organize conferences without them.","no","yes","","conferences","no","yes","yes","","yes","We need to make conferences less important if journals are to be widely used.","2","2","5","5","","academia","<10 years ago","no","","North America"
"2015/03/06 12:56:02 AM AST","a desirable feature","no","through author processing charges","100","yes","","yes","yes","","conferences","yes","yes","yes","","yes","","","1","3","5","","academia","10+ years ago","no","","North America"
"2015/03/06 12:56:52 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","To support computer science research and to advocate for computer scientists in society at large. Part of the latter role involves providing access to the actual research.","yes","yes","I think copyright assignment to the authors is essential. In addition, clear licensing of all software artifacts related to the publication process (e.g., the conference/journal LaTeX style files) under a permissive license is helpful.","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews","no opinion","","1","2","3","3","I do not have a preference whether archiving should be achieved via ArXiv. As long as the papers are openly accessible and reliably stored, I would be fine with ArXiv or another host.

Also, I find that scholar.google.com is far more useful than the DL's search facilities. The only reason I would prefer a DL search would be if its search technology were implemented using free/open software and managed in a transparent fashion.","academia","<10 years ago","no","SIGPLAN","North America"
"2015/03/06 12:56:59 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","100","yes","Someone who is responsible for verification and providing trust that the paper is both of high-quality & authentic (results are not fraudulent). ","yes","yes","","conferences","no","yes","yes","","yes","","3","3","1","4","","","<10 years ago","no","","North America"
"2015/03/06 12:57:02 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","0","yes","Advancing the field of computer science.","yes","yes","","conferences","no","no","yes","I do not publish in journals","yes","Their importance is overblown, certainly in programming languages and systems.
","1","1","5","5","It's *terrible*.
","academia","10+ years ago","yes","SIGPLAN and SIGOPS","North America"
"2015/03/06 1:00:56 AM AST","a desirable feature","yes","through increased conference registration costs (or attendance)","0","yes","advertise CS","yes","not essential","","conferences","yes","no","yes","it is expected by your employer","yes","Not essential","2","2","4","3","","academia","<10 years ago","yes","SIGSOFT","North America"
"2015/03/06 1:01:27 AM AST","not essential","no","Sell archives","1000","yes","Sanctioning conferences and journals to employers","no","not essential","Who pays? Should be the reader or author.","conferences","no","yes","yes","they allow long form results;they allow one to present completed research;they provide better reviews;they are more prestigious;it is expected by your employer","yes","","5","3","3","3","","industry","20+ years ago","yes","PL","North America"
"2015/03/06 1:01:54 AM AST","a desirable feature","yes","Solicit donations from tech companies and universities","0","yes","","yes","yes","","conferences","no","yes","yes","they allow long form results;they allow one to present completed research","yes","","3","3","5","5","","academia","<10 years ago","yes","SIGPLAN","North America"
"2015/03/06 1:02:17 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","yes","","yes","yes","","conferences","yes","yes","yes","they allow long form results;they allow one to present completed research;they are more prestigious;it is expected by your employer","yes","","3","5","3","3","","academia","10+ years ago","yes","","Europe"
"2015/03/06 1:02:58 AM AST","a moral imperative","yes","through increased conference registration costs (or attendance)","200","yes","","yes","yes","","conferences","no","yes","yes","it is expected by your employer","yes","","5","4","5","5","","academia","<10 years ago","no","SIGSOFT","North America"
