Timestamp,How many times have you submitted to ECOOP?, The use of LNCS determines my submitting to ECOOP:,Would you support ECOOP switching to a proper Open Access publisher?,Would you support publishing ECOOP with Dagstuhl LIPIcs?,Would you support switching next year (2016)?,Comments,Do you think having free copies of papers available online helps other academics?, I know the rules that govern posting copies of LNCS papers on personal or institutional sites., I post copies of papers on my personal or institutional site:,Do you think having free copies of papers available online helps people in industry?,Do you think having free copies of papers available online helps society as a whole?,Are you an AITO member?,Would you support switching this year (2015)?,How important is open access to you?
1/27/2015 19:42:45,"Consider myself a ""regular""",Heavily against,Yes,4,Yes,,4,2,I don't really know what the publishers' policies are,4,4,Yes,Yes,
1/27/2015 19:45:08,First time,No real difference,I don't care,2,Yes,,3,1,Rarely or never in accord with publisher policies,2,4,No,Yes,
1/27/2015 19:45:17,A few times but not many,No real difference,Yes,3,Yes,,3,1,Always in complete accord with publisher policies,3,3,No,Yes,
1/27/2015 19:48:09,First time,No real difference,Yes,3,Yes,,4,2,I don't post copies of papers,4,4,No,Yes,
1/27/2015 19:50:50,A few times but not many,No real difference,Yes,3,Yes,,4,1,Always in complete accord with publisher policies,3,4,No,No,
1/27/2015 19:52:03,First time,Slightly against,Yes,4,Yes,"I don't know the details of Dagstuhl LIPIcs, so my answers are more about open access in general.",4,2,I don't really know what the publishers' policies are,4,4,No,Yes,
1/27/2015 19:52:08,A few times but not many,Slightly against,Yes,4,Yes,"Springer provides no value to our community, while we donate our hard work to them. We should switch ASAP.",4,2,I don't really know what the publishers' policies are,4,4,No,Yes,
1/27/2015 20:09:17,A few times but not many,No real difference,Yes,4,Yes,,4,2,Always in complete accord with publisher policies,4,4,No,Yes,
1/27/2015 20:21:39,A few times but not many,Slightly against,Yes,4,Yes,"I am in favor of open access publishing. The Open Access charge for Dagstuhl LIPIcs seems reasonable.

Additionally, one aspect of LNCS that I am not fond of is its document style. A point in Dagstuhl LIPIcs's favor is that its document style looks more appealing.",4,2,I don't really know what the publishers' policies are,3,3,No,Yes,
1/27/2015 20:29:10,A few times but not many,Heavily against,Yes,4,Yes,Dagstuhl is a highly reputed institution backed by the German version of the U.S. NSF. the fee is low and open access is offered. What else does anyone need ?,4,2,Rarely or never in accord with publisher policies,4,4,No,Yes,
1/27/2015 20:34:13,A few times but not many,No real difference,Yes,3,Yes,,4,2,I don't really know what the publishers' policies are,4,4,No,Yes,
1/27/2015 20:47:39,First time,No real difference,Yes,4,Yes,,4,2,Always in complete accord with publisher policies,4,4,No,Yes,
1/27/2015 20:48:14,A few times but not many,Slightly against,Yes,3,Yes,,4,2,I don't really know what the publishers' policies are,3,2,No,Yes,
1/27/2015 20:56:03,First time,No real difference,Yes,4,Yes,,4,2,Rarely or never in accord with publisher policies,4,4,No,Yes,
1/27/2015 20:59:19,A few times but not many,No real difference,Yes,4,Yes,"time to change.  I've dealt with Springer in the past.  Awful.  Their thinking and technology is out of the 1980s -- last century.  

",4,2,Sometimes in complete accord with publisher policies,4,4,No,Yes,
1/27/2015 21:02:21,A few times but not many,Lightly in favor,Yes,2,Yes,I am in favor of an open-access publisher as long as it is prestigious and does not take anything away from the importance of this conference,4,2,I don't really know what the publishers' policies are,4,4,No,No,
1/27/2015 21:08:37,First time,No real difference,Yes,3,Yes,,4,2,Sometimes in complete accord with publisher policies,2,3,No,Yes,
1/27/2015 21:22:32,A few times but not many,No real difference,Yes,4,Yes,,3,1,I don't post copies of papers,3,3,No,Yes,
1/27/2015 21:29:57,A few times but not many,No real difference,Yes,4,Yes,This is the morally correct thing to do. It will influence me to submit to ECOOP rather than SPLASH.,3,1,Always in complete accord with publisher policies,3,4,No,Yes,
1/27/2015 21:40:53,A few times but not many,Lightly in favor,No,1,No,,3,1,Rarely or never in accord with publisher policies,2,2,No,No,
1/27/2015 21:47:54,"Consider myself a ""regular""",Slightly against,Yes,4,Yes,,4,2,Rarely or never in accord with publisher policies,3,4,No,Yes,
1/27/2015 21:57:43,A few times but not many,No real difference,Yes,3,Yes,,4,2,I don't really know what the publishers' policies are,3,3,No,Yes,
1/27/2015 22:58:25,A few times but not many,No real difference,I don't care,3,Yes,Gradual change is preferable over sudden change,4,2,I don't post copies of papers,2,3,No,No,
1/27/2015 23:39:47,A few times but not many,No real difference,Yes,4,Yes,"I have no LNCS subscription, and there are even ECOOP 2014 papers that you can't find via a Google search; it's been a big pain.  Let's switch for ECOOP 2015!",4,1,Always in complete accord with publisher policies,4,4,No,Yes,
1/28/2015 0:16:39,First time,Heavily against,Yes,2,Yes,,4,2,Rarely or never in accord with publisher policies,4,4,No,No,
1/28/2015 0:22:04,A few times but not many,No real difference,Yes,4,Yes,,4,2,I don't really know what the publishers' policies are,4,4,No,Yes,
1/28/2015 0:23:52,A few times but not many,No real difference,Yes,4,Yes,,2,1,Always in complete accord with publisher policies,4,4,No,Yes,
1/28/2015 0:36:00,A few times but not many,Lightly in favor,Yes,2,Yes,"I am not a huge fan of the specific format / style, but in general in favor of switching to an open access model.

Changing in 2015 would affect people who submitted, expecting publication in LNCS, so I would suggest 2016.
",3,1,Always in complete accord with publisher policies,3,3,No,No,
1/28/2015 0:55:15,"Consider myself a ""regular""",No real difference,Yes,4,Yes,,4,1,Sometimes in complete accord with publisher policies,4,4,Yes,Yes,
1/28/2015 0:59:07,"Consider myself a ""regular""",Heavily in favor,Yes,2,No,LNCS is well known and thus makes ECOOP proceedings easier to present to journal heavy committees judging promotions and dismissing conference proceedings. It would make it a harder sell if it is a lesser known publisher. :-(,4,2,Sometimes in complete accord with publisher policies,4,4,No,No,
