Timestamp,I agree with the principle of publishing PLDI as an issue of TOPLAS:,The following other conferences should be considered for special issues of TOPLAS:,Publishing papers in journal is expected by my employer:,I have published the following number of papers at PLDI:,I have published the following number of Journal papers:,I choose to publish in Journals for the following reasons:,I would like my papers to be open access:,Seniority,I work in the following country:,I work in an academic institution:,,(inferred field: are you writing journals only if you have to?)
10/13/2014 0:37:10,Yes,"POPL, ICFP, OOPSLA",Yes,2-5,6-10,In part to fulfill expectations of my department and sometimes (less often) when a paper really would benefit from more details.,Yes,Senior researcher or Post-tenure academic,USA,Yes,,1
10/13/2014 0:43:07,Undecided,"POPL, OOPSLA",No,0,11+,the papers were rejected from conferences so journals are a second best option,Don't care,Senior researcher or Post-tenure academic,New Zealand,Yes,,
10/13/2014 0:45:15,No,,No,2-5,2-5,When I am unable to fit all essential details into a conference paper,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 0:50:58,Yes,"POPL, OOPSLA",No,2-5,6-10,"I do not, but co-authors sometimes submit journal versions because their universities want this",Yes,Senior researcher or Post-tenure academic,UK,No,,1
10/13/2014 0:53:49,Undecided,"POPL, ICFP, OOPSLA",Yes,1,2-5,Livelihood,Yes,Senior researcher or Post-tenure academic,Sweden,Yes,,1
10/13/2014 1:13:41,Yes,"POPL, ICFP, OOPSLA",No,2-5,2-5,long-form writing is nice sometimes,Yes,Senior researcher or Post-tenure academic,USA,Yes,,
10/13/2014 1:27:27,Yes,"POPL, ICFP, OOPSLA",No,2-5,1,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 1:51:14,Yes,"POPL, ICFP, OOPSLA",No,1,2-5,"can submit any time, less unpredictable outcome",Yes,Student or Postdoc,UK ,Yes,,
10/13/2014 2:08:15,Undecided,,No,6-10,1,,Yes,Junior researcher or Pre-tenure academic,USA,No,,
10/13/2014 2:32:21,No,,No,0,1,,Yes,Student or Postdoc,USA,Yes,,
10/13/2014 3:22:43,Undecided,,No,1,0,,Yes,Student or Postdoc,USA,Yes,,
