Timestamp,My registration number is (required to be eligible for raffle prize),I am primarily associated with,The technical quality of papers was high,The papers presented interesting material,The talks were well presented,The presented papers in my area of work were relevant,"Even with parallel sessions, I was able to attend most of the talks I was interested in",The number of papers accepted was,The length of POPL presentations (including questions) should be,What type of proceedings do you find most useful during the conference?,What type of proceedings do you find least useful during the conference?,Have you viewed any POPL  video online?,POPL should have a best presentation award,"In addition to the 10-year Most Influential Paper award, POPL should give out distinguished paper awards",I am a (co)-author of a paper accepted to POPL,I am a (co)-author of a POPL  submission,The reviews I received were thorough and fair,I was happy with the double blind reviewing process used for POPL ,The author rebuttal process used for POPL was,What did you like about the reviewing process used for POPL?,What did you dislike about the reviewing process used for POPL?,I would not be attending POPL if I were not also attending a co-located event,"If yes, which event(s)?",The location of POPL  played a role in my decision to attend,"Given a choice of an “interesting/higher cost” location or a “less interesting/lower cost” location, I would prefer:","Regardless of the location, I will not attend POPL if the nightly hotel costs are above","Regardless of location, I will not attend POPL if the early registration costs for POPL are above","If POPL were held in the Pacific Rim area (China, Korea, Japan, Australia, etc.) how would this affect your likelihood of attending?","If POPL were held in Israel, how would this affect your likelihood of attending?",Which week of January do you prefer to hold POPL?,Future POPLs should have more opportunities for socializing and fun,"Future POPLs should have an outing/social event, even if it increases the registration cost by $85",What other factors would increase the likelihood that you would attend future POPLs as a non-author?,What other factors would decrease the likelihood that you would attend future POPLs as a non-author?,I stayed at one of the conference hotels,The meals and break food met my needs,"The conference facilities (internet, location, etc.) met my needs",What did you like best about POPL '15?,What about POPL '15 were you most unhappy about?,Any comments on the facilities?,Is open access important to you?,"If open access required author processing fees, how much would you agree to pay?",Would you support publishing the proceedings of POPL as a special issue of TOPLAS?
1/18/2015 10:31:37,,industry,5,5,5,4,1,about right,25 minutes,hardcopy,USB stick,no,1,1,no,no,,,,,,yes,VMCAI,5,interesting/higher cost,$200,$700,1,1,week 3,3,5,,,yes,5,5,,,,5,$100,Yes
1/18/2015 10:34:16,,student,4,4,3,4,4,about right,25 minutes,download via internet during the conference,hardcopy proceedings,yes,1,3,yes,yes,,,,,,no,,3,interesting/higher cost,$200,$700,2,1,week 3,1,1,,Location that require complex visa processes.,no,3,3,TIFR was a nice venue,"There was no opportunity for people to get away from the conference venue and socialize as it was somehow not central and the buses left right after each event.
The banquet was horrible. No table service caused the event to be a jungle and socializing properly was impossible.",No,5,$100,Yes
1/18/2015 10:35:43,,student,4,4,3,,3,about right,30 minutes,USB stick,hardcopy proceedings,no,1,2,no,no,,,,,,no,,2,interesting/higher cost,$150,$500,5,1,week 2,2,3,,,yes,2,3,,,Internet Problems,5,$100,Yes
1/18/2015 10:35:52,,student,1,2,2,2,1,about right,20 minutes,download via internet during the conference,USB stick,no,1,2,no,no,,,,,,yes,PLMW,1,less interesting/lower cost,$200,$600,4,4,week 3,2,1,,,yes,1,1,,,,5,$250,Yes
1/18/2015 10:37:17,,academia (non-student),1,2,1,1,1,about right,30 minutes,USB stick,hardcopy proceedings,yes,3,4,yes,yes,,,,,,no,,2,interesting/higher cost,$200,doesn't matter,5,4,week 3,3,4,Relevant and interesting workshops; inspiring (or at least offering the promise of being so) keynotes; excuses to attend such as committee meetings in which I'm involved,"Converses of the above (ie no interesting workshops, boring keynotes or ones I've heard before, no other excuse to attend)",yes,1,3,Location in Mumbai,"Awkwardness over availability of proceedings: we should have had a one-click download and/or borrowable USB sticks from the start, for the workshops as well as for POPL itself","TIFR wifi a bit flaky, and my hotel (Vivanta) also low bandwidth unless you paid extra",4,$500,Yes
1/18/2015 10:41:55,,academia (non-student),,,,,,,,hardcopy,USB stick,no,1,,yes,yes,,,,,,no,,5,interesting/higher cost,$150,doesn't matter,,,,1,1,none. Little chance will attend future POPL's since I'm switching fields. Don't take my survey seriously.,,yes,5,1,,,,4,,No
1/18/2015 10:44:03,,academia (non-student),2,2,3,2,2,about right,20 minutes,download via internet during the conference,USB stick,no,1,1,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,4,4,week 2,5,2,,,no,5,5,,,,4,$100,No
1/18/2015 10:45:51,,academia (non-student),1,1,1,1,3,too few,30 minutes,hardcopy,,yes,2,1,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,4,5,week 3,1,1,,,no,1,1,,,,5,$100,Yes
1/18/2015 10:48:32,,student,4,3,4,4,4,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,3,4,yes,yes,,,,,,no,,5,interesting/higher cost,$200,$500,2,3,week 3,1,3,Funding options,,yes,4,4,Interesting location,I could not eat most of the food,Internet frequently did not work for me,4,$100,Yes
1/18/2015 10:48:50,,student,1,2,2,2,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,yes,3,3,yes,yes,,,,,,no,,5,interesting/higher cost,doesn't matter,$500,3,3,week 3,3,3,,,yes,2,3,,,,3,$100,No
1/18/2015 10:50:09,,student,4,4,4,4,5,about right,20 minutes,download via internet during the conference,USB stick,no,5,4,no,no,,,,,,no,,3,less interesting/lower cost,doesn't matter,doesn't matter,3,3,week 3,3,3,,,yes,2,5,,,,4,$100,Yes
1/18/2015 10:50:46,,student,1,1,1,3,1,about right,30 minutes,USB stick,hardcopy proceedings,no,1,1,no,no,,,,,,no,,5,less interesting/lower cost,$150,$500,5,5,week 3,1,3,,,no,1,1,,,,3,,Yes
1/18/2015 10:56:15,,student,1,2,2,3,2,about right,25 minutes,USB stick,hardcopy proceedings,yes,2,4,no,no,,,,,,no,,2,less interesting/lower cost,$250,$500,4,5,week 3,1,2,,,no,2,3,,,mismanagement of crowd.,3,$100,Yes
1/18/2015 11:06:36,,government,1,1,1,1,2,about right,25 minutes,hardcopy,download via internet during the conference,no,2,2,no,no,,,,,,no,,1,interesting/higher cost,$150,$500,1,5,week 2,5,1,,,no,3,3,Quality of papers,Misses a scheduled/official tour,,5,$100,Yes
1/18/2015 11:07:09,,student,1,2,4,2,2,about right,30 minutes,hardcopy,download via internet during the conference,no,1,1,yes,yes,,,,,,no,,4,interesting/higher cost,$200,$500,5,4,week 3,1,1,Funding for students,Country's security,yes,5,4,Keynotes,"Organization overall was poor. Banquet was ridiculous from the 90m rides to the food and service (long queues, unprofessional staff, coupons for drinks is very silly). It feels like the organization did some questionable cutoffs in the budget they spent. Food was horrible and cant believe thats how india's food is like, there should be minimum standards for lunches, breaks and specially banquet service and food when you pay such high registation fees!",Poor choice of food at breaks and lunches specially for non-spicy food. Some breaks did not have food at all or only small biscuits. ,5,$100,Yes
1/18/2015 11:08:42,,student,3,1,3,2,3,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,1,3,no,no,,,,,,no,,1,less interesting/lower cost,doesn't matter,doesn't matter,1,1,week 4,1,5,,,no,3,2,,,,4,$100,Yes
1/18/2015 11:17:56,,student,1,2,3,2,1,too few,30 minutes,download via internet during the conference,download via internet during the conference,no,2,4,no,no,,,,,,no,,5,less interesting/lower cost,$200,$600,3,1,week 2,2,5,,,yes,2,1,"The conference facilities.
The PLMW workshop.
The POPL talks.","Coming to India was a nightmare for me, especially for the Visa.",,5,$250,Yes
1/18/2015 11:18:28,,student,1,3,3,3,5,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,2,1,yes,yes,,,,,,no,,5,interesting/higher cost,doesn't matter,doesn't matter,2,2,week 2,1,1,,,yes,1,4,,,Better WiFi needed,5,$100,Yes
1/18/2015 11:20:48,,student,,,2,,2,,30 minutes,,,no,3,3,no,no,,,,,,,,1,,,,,,,,,,,no,1,2,,,,2,,
1/18/2015 11:25:45,,student,1,1,2,2,3,too many,30 minutes,download via internet during the conference,USB stick,no,2,3,no,no,,,,,,yes,PEPM,3,interesting/higher cost,$200,doesn't matter,5,3,week 3,1,2,,,yes,1,1,,,,2,$100,Yes
1/18/2015 11:27:09,,academia (non-student),2,2,3,2,2,too many,30 minutes,download via internet during the conference,hardcopy proceedings,no,5,5,no,no,,,,,,no,,3,less interesting/lower cost,$150,$500,2,3,week 2,3,5,Travelling to far off locations from India is a limitation particularly for non-authors.,Attending POPL outside of India for a non-author is impossible.,no,2,2,,,,5,,Yes
1/18/2015 11:27:12,,industry,4,3,4,5,3,about right,30 minutes,hardcopy,download via internet during the conference,no,3,3,no,no,,,,,,no,,3,interesting/higher cost,doesn't matter,doesn't matter,5,1,week 3,1,1,,,yes,1,1,,,,5,$100,Yes
1/18/2015 11:29:47,,student,1,1,2,1,3,about right,30 minutes,hardcopy,USB stick,no,1,1,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,5,1,week 2,1,1,,,no,2,1,,,,5,$100,Yes
1/18/2015 11:30:05,,student,2,1,3,1,1,about right,25 minutes,USB stick,hardcopy proceedings,no,1,3,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,3,week 2,4,3,Please continue to have PLMW type of mentoring workshops.,None,yes,2,3,Variety of papers. Good participation.,Hotel selection. The hotel fee was not discounted at all for locals in contrast to what was advertised.,Conference hotel (esp. Victoria) was very poor.,3,$100,Yes
1/18/2015 11:33:45,,academia (non-student),1,1,1,1,1,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,5,5,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,2,week 3,5,5,,,no,2,2,,,,1,$100,No
1/18/2015 11:33:56,,student,1,1,3,2,5,about right,30 minutes,download via internet during the conference,hardcopy proceedings,no,3,4,yes,yes,,,,,,no,,1,interesting/higher cost,doesn't matter,doesn't matter,5,5,week 2,1,4,,,no,1,2,,,,5,$250,No
1/18/2015 11:34:06,,industry,1,2,1,3,3,about right,30 minutes,USB stick,hardcopy proceedings,no,1,1,no,no,,,,,,yes,"VMCAI, CPP, OBT",1,less interesting/lower cost,$150,$500,3,3,week 2,2,2,"1. Some overview sessions or brief downloadable articles/booklets of an event, e.g. purpose, scope, and basic technical background ideas in VMCAI
2. Reduced registration costs
3. Regional POPLs culminating into the international POPL could make it easier to decide attending the top POPL
",International travel.,no,1,1,Almost everything was perfect. Hence this is hard to answer.,POPL Banquet at ITC Grand could have been better.,,5,$100,Yes
1/18/2015 11:34:48,,academia (non-student),3,3,3,2,2,about right,30 minutes,USB stick,download via internet during the conference,no,4,4,yes,yes,,,,,,yes,Cpp,3,interesting/higher cost,$150,$600,2,1,week 2,3,3,,,yes,1,2,Some talks + friendly discussions with Indian students and scientists,Some talks + the place chosen for the banquet,Wifi could have been better,5,$100,Yes
1/18/2015 11:40:04,,academia (non-student),3,3,3,3,1,about right,30 minutes,USB stick,hardcopy proceedings,no,3,2,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,3,week 2,1,4,,,yes,4,2,Filter coffee on the last two days,high cost,,5,,
1/18/2015 11:40:18,,student,1,3,4,2,1,about right,20 minutes,USB stick,,no,1,1,no,no,,,,,,no,,1,less interesting/lower cost,$150,$500,3,3,week 2,1,5,Scholarships or travel grants.,High registration cost. ,yes,2,2,The venue. ,,,5,$100,Yes
1/18/2015 11:40:31,,student,2,3,3,2,1,too few,20 minutes,download via internet during the conference,hardcopy proceedings,no,2,4,no,no,,,,,,yes,PEPM,5,less interesting/lower cost,$150,$500,3,1,week 3,3,4,"If were held in a country that is open to people from all nationalities, sexes, sexual preference, etc, which India is definitely not!",,yes,1,1,Diner in the lawns and perfectly timed schedule,Expensive but not-so-well-organised banquet,,5,$100,Yes
1/18/2015 11:45:32,,academia (non-student),3,3,3,3,1,about right,30 minutes,USB stick,download via internet during the conference,yes,3,3,yes,yes,,,,,,no,,3,interesting/higher cost,doesn't matter,doesn't matter,3,1,week 4,3,3,,,yes,4,4,,,,5,$100,Yes
1/18/2015 11:47:28,,academia (non-student),2,1,1,2,3,about right,25 minutes,USB stick,hardcopy proceedings,no,5,2,yes,yes,,,,,,no,,4,,$200,$600,2,3,,2,4,,"I do not travel to China, nor to other countries where human rights are not respected.",yes,1,2,"Meeting Indian colleagues and students, whom we don't see often at conferences.

Excellent local arrangements.  ","No free WIFI at the conference hotel (Trident).

The visa procedure scared away a number of potential attendees, even though getting the visa was relatively easy in my experience.","WIFI a little weak.  Otherwise, location was very nice.",2,$100,Yes
1/18/2015 11:49:14,,student,1,2,2,2,1,about right,30 minutes,hardcopy,download via internet during the conference,no,2,2,no,no,,,,,,no,,1,interesting/higher cost,$150,$500,5,1,week 2,1,3,"I would like to have more sessions for people in first year phd, people who are yet to chose their topic of research in their career. I found the some of the talks very specific. I would like to have talks over many areas instead of too many in same topic","If they have many talks in the same area , it would be less likely for me to attend it",no,1,1,"Lots of people from different areas, I usually do not take time to fill surveys, but I am not at all finding it difficult to do for POPL'15 because i found the conference fun and technical and enjoyable.","The list of the topics that were covered were not very diverce, they could have included some more topics like model checking and papers which were aimed at 1st year phd students","I did not expect to have such great facilities , they are indeed great. ",5,$100,Yes
1/18/2015 11:55:54,,industry,1,1,2,1,1,about right,20 minutes,download via internet during the conference,hardcopy proceedings,no,1,1,no,no,,,,,,no,,,less interesting/lower cost,$200,$700,3,3,week 3,1,1,,,yes,1,1,,,,4,$100,Yes
1/18/2015 12:02:20,,student,2,3,4,2,2,about right,25 minutes,USB stick,hardcopy proceedings,no,1,2,no,yes,,,,,,yes,OBT,1,interesting/higher cost,doesn't matter,$700,3,1,week 2,1,1,,,yes,3,5,,,Internet didn't work well,5,$100,Yes
